geonameid,name,asciiname,alternatenames,latitude,longitude,fclass,fcode,country,cc2,admin1,admin2,admin3,admin4,population,elevation,gtopo30,timezone,moddate
4526992,"Upper Arlington","Upper Arlington",,39.5161700,-84.3763300,P,PPL,US,,OH,017,,,0,216,216,America/New_York,2006-01-15
4526993,"Upper Arlington","Upper Arlington","Aper Arlington,Appa Arlington,apr arlyngtwn  awhayw,awbyr arlynghtwn  awhayw,Апер Арлингтон,Аппа Арлингтон,أوبير أرلينغتون، أوهايو,اپر ارلینگتون، اوهایو",39.9945100,-83.0624100,P,PPL,US,,OH,049,,,33771,247,249,America/New_York,2011-05-14
4526994,"Upper Arlington City Hall","Upper Arlington City Hall",,39.9989500,-83.0621300,S,BLDG,US,,OH,049,,,0,253,256,America/New_York,2006-01-15
4526995,"Upper Arlington Historic District","Upper Arlington Historic District",,39.9978400,-83.0638000,L,PRK,US,,OH,049,,,0,249,252,America/New_York,2006-01-15
4526996,"Upper Arlington Public Library","Upper Arlington Public Library",,39.9950600,-83.0610200,S,LIBR,US,,OH,049,,,0,250,251,America/New_York,2006-01-15
4527458,"WXMX-FM (Upper Arlington)","WXMX-FM (Upper Arlington)",,39.9711800,-83.0276800,S,TOWR,US,,OH,049,,,0,218,221,America/New_York,2006-01-15
5174852,"Upper Arlington Church of Christ","Upper Arlington Church of Christ",,40.0389500,-83.0768500,S,CH,US,,OH,049,,,0,263,268,America/New_York,2007-02-14
5174853,"Upper Arlington High School","Upper Arlington High School",,40.0150600,-83.0546300,S,SCH,US,,OH,049,,,0,260,261,America/New_York,2006-01-15
5174854,"Upper Arlington Lutheran Church","Upper Arlington Lutheran Church",,40.0364500,-83.0785200,S,CH,US,,OH,049,,,0,261,263,America/New_York,2006-01-15
5174855,"City of Upper Arlington","City of Upper Arlington",,40.0271100,-83.0703300,A,ADMD,US,,OH,049,,,33771,261,264,America/New_York,2013-03-08
7132466,"Upper Arlington Music Academy","Upper Arlington Music Academy",,40.0072200,-83.0333300,S,SCH,US,,OH,049,,,0,232,230,America/New_York,2010-01-31
7244640,"Upper Arlington Fire Division Station 73","Upper Arlington Fire Division Station 73",,40.0523300,-83.0776900,S,BLDG,US,,OH,049,,,0,271,272,America/New_York,2010-02-07
7244641,"Upper Arlington Fire Division Station 72","Upper Arlington Fire Division Station 72",,40.0354500,-83.0671400,S,BLDG,US,,OH,049,,,0,259,244,America/New_York,2014-10-08
7245706,"Upper Arlington Fire Division Station 71","Upper Arlington Fire Division Station 71",,39.9988100,-83.0620200,S,BLDG,US,,OH,049,,,0,253,255,America/New_York,2010-02-07
7290366,"Hyde Park Prime Steakhouse - Upper Arlington","Hyde Park Prime Steakhouse - Upper Arlington",,40.0518900,-83.0629200,S,REST,US,,OH,049,,,0,0,270,America/New_York,2010-05-18
9674749,"Upper Arlington Police Department","Upper Arlington Police Department",,40.0311900,-83.0509600,S,BLDG,US,,OH,049,,,0,254,244,America/New_York,2014-10-09
